
Balances trimestrales de criminalidad - 2018. 3º Trimestre
Indicadores de seguridad 2018 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2017,Enero-septiembre 2018,Variación % 2018/2017,
    9.-Sustracciones de vehículos,160.0,195.0,21.9,
    10.-Tráfico de drogas,199.0,132.0,-33.7,
    TOTAL INFRACCIONES PENALES,3462.0,3473.0,0.3,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,1.0,-83.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,81.0,102.0,25.9,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,22.0,22.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,22.0,22.0,0.0,
    6.-Robos con violencia e intimidación,274.0,252.0,-8.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,116.0,103.0,-11.2,
    7.1.-Robos con fuerza en domicilios,82.0,66.0,-19.5,
    8.-Hurtos,848.0,917.0,8.1,
    9.-Sustracciones de vehículos,91.0,56.0,-38.5,
    10.-Tráfico de drogas,47.0,34.0,-27.7,
    TOTAL INFRACCIONES PENALES,3516.0,3912.0,11.3,
FUERA DE ESPAÑA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,3.0,0.0,-100.0,
    4.-Secuestro,5.0,5.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,48.0,32.0,-33.3,
    5.1.-Agresión sexual con penetración,9.0,4.0,-55.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,39.0,28.0,-28.2,
    6.-Robos con violencia e intimidación,187.0,200.0,7.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,23.0,33.0,43.5,
    7.1.-Robos con fuerza en domicilios,14.0,22.0,57.1,
    8.-Hurtos,2314.0,2284.0,-1.3,
    9.-Sustracciones de vehículos,70.0,69.0,-1.4,
    10.-Tráfico de drogas,7.0,10.0,42.9,
    TOTAL INFRACCIONES PENALES,14817.0,16042.0,8.3,
Notas:
(*) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.            
                         
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).                        
                  
Fuente: Ministerio del Interior
