
Balance de criminalidad. 2021 - 4º Trimestre - CCAA
Indicadores de seguridad 2021 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-diciembre 2020,Enero-diciembre 2021,Variación % 2021/2020,
    10.-Tráfico de drogas,19.0,17.0,-10.5,
    Resto de infracciones penales,8224.0,6251.0,-24.0,
    TOTAL INFRACCIONES PENALES,9395.0,7306.0,-22.2,
Notas:
NIPO 126-20-005-0             
              
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, policías autonómicas y policías locales que proporcionan datos  al Sistema Estadístico de Criminalidad.                          
                                              
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).   
    
 (***) Datos pendientes de consolidar.
Fuente: Ministerio del Interior
